file name,area_of_law,interests,statement,,,,
File: /content/drive/MyDrive/articles/06_39.xml,Immigration Law,Independent finding of adequate state protection,appeal whether refugee review tribunal failed to consider claim made by the appellant whether independent finding of adequate state protection whether leave to raise a new ground of appeal should be granted migration,,,,
File: /content/drive/MyDrive/articles/06_35.xml,Immigration Law,Not a significant case for precedent,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_26.xml,finacial law,Debt Collection ,proceedings commenced in local court for $11,923.17 for services rendered unsuccessful application for transfer of those proceedings to federal court adverse order for costs following that event made on indemnity basis unsuccessful party gave notice of intention to have successful party's bill of costs 'dismissed' but did not appear on any such application order made by federal court in favour of successful party for fixed sum for costs in lieu of need for taxation of those costs order 62 rule 4(2) legal costs federal court rules,,,
File: /content/drive/MyDrive/articles/06_25.xml,Native Title Law,section 66B,application to replace applicant in claimant application under s 66b of the native title act 1993 (cth) whether applicant no longer authorised by native title claim group whether persons bringing application authorised by claim group to make the application and to deal with matters arising under it native title,,,,
File: /content/drive/MyDrive/articles/06_33.xml,Administrative Law,Power of Administrative Appeals Tribunals,"exercise of discretion conferred upon the administrative appeals tribunal scope of discretion consideration of principles governing the exercise of discretion acting judicially consideration of the influence of authorities dealing with the exercise of curial discretion compared with discretion exercised by an administrative tribunal consideration of whether questions of law properly raised consideration of the need to formulate questions of law properly consideration of principles derived from calderbank v calderbank and cutts v head . consideration of the exercise of discretion by an administrative tribunal consideration of ""without prejudice"" letters of offer. consideration of need to formulate questions of law consideration of order 53", rule 3 of the federal court rules . administrative law costs practice and procedure,,,
File: /content/drive/MyDrive/articles/06_122.xml,Industrial Law,Non-Economic Loss,application for compensation for non-economic loss under s 298u(c) of the workplace relations act 1996 (cth) whether appropriate to award compensation for non-economic loss circumstances in which non-economic loss should be compensated evidence required to support claim for compensation for non-economic loss industrial law,,,,
File: /content/drive/MyDrive/articles/06_133.xml,Immigration Law,Refugee Protection Visa,refugee protection visa whether finding of lack of credibility based on erroneous fact amounts to jurisdictional error. immigration,,,,
File: /content/drive/MyDrive/articles/06_42.xml,Immigration Law,Tribunal's actions,protection visa refusal application for review claim based on alleged religious conversion at age 11 considered when applicant aged 17 tribunal not in error in asking the wrong questions in relation to conversion and taking into account irrelevant considerations tribunal did not fail to ask to consider whether applicant had well-found fear of being persecuted by reason of being an apostate tribunal not in error in reaching conclusion on availability of state protection no error in conclusions on relocation migration,,,,
File: /content/drive/MyDrive/articles/06_106.xml,Criminal Law,Validity of warrants,validity of warrants warrants for purpose of australian crime commission special investigation whether power to issue and execute warrants limited whether for use in criminal prosecution process administrative law,,,,
File: /content/drive/MyDrive/articles/06_110.xml,civil law,Motion to strike out allegations,motion to strike out allegations motion successful whether costs should be taxed and paid on an indemnity basis costs,,,,
File: /content/drive/MyDrive/articles/06_50.xml,civil law,Requests Too Broad,notice to produce application to set aside requests too broad practice and procedure,,,,
File: /content/drive/MyDrive/articles/06_86.xml,Immigration Law,No legal basis for migration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_125.xml,National Security Law,Government Discretion and Oversight,national security review of decision to issue certificate under sections 36 , 39a and 39b of the administrative appeals tribunal act 1975 (cth) where legal representative sought access to evidence adduced by asio officers whether risk of inadvertent disclosure an irrelevant consideration by decision maker where risk of disclosure is unsubstantiated or speculative whether decision was a decision which was so unreasonable that no reasonable decision maker could come to it administrative law,,,
File: /content/drive/MyDrive/articles/06_90.xml,Bankruptcy Law,Amendments to Pleadings,adjournment application need for insolvency to be established on evidence whether admissions can be acted on whether amendments to pleadings should be permitted practice and procedure,,,,
File: /content/drive/MyDrive/articles/06_59.xml,administrative,Migration or immigration,whether implausibility reasoning perverse whether procedural fairness requires disclosure by tribunal of provisional views on matters of assumption migration,,,,
File: /content/drive/MyDrive/articles/06_112.xml,Civil,Discovery,discovery application of principles to categories procedure,,,,
File: /content/drive/MyDrive/articles/06_63.xml,criminal,Financial,applicant convicted of offences under workers rehabilitation and compensation act 1986 (sa) applicant ordered to pay costs of investigation and prosecution of offences applicant subsequently became bankrupt whether sum payable by way of costs order is a debt provable in bankruptcy whether order should be made under s 60(1) of the bankruptcy act 1966 (cth) staying any legal process against applicant in respect of the costs order bankruptcy,,,,
File: /content/drive/MyDrive/articles/06_135.xml,corporate insolvency ,Liquidation,winding up application insolvency winding up proceedings commenced by asic whether one set of liquidators should be appointed to companies which are part of a group of insolvent companies company insolvent winding up orders made on insolvency grounds one set of liquidators appointed corporations,,,,
File: /content/drive/MyDrive/articles/06_85.xml,competition,Industry ,transfer to another registry proceeding concerning prevention of entry into market or deterrence or prevention from engagement in competitive conduct markets located in queensland conduct said to have taken place in queensland both parties having offices in queensland likelihood that all non-expert witnesses would be from queensland selection of applicant's solicitors and counsel in perth not capricious financial differences between applicant and respondent case most suitably conducted in queensland procedure,,,,
File: /content/drive/MyDrive/articles/06_118.xml,corporate insolvency,Asset management,insolvency application to wind up on ground of insolvency leave granted to appear to a director of defendant/respondent corporation consideration of a proposal to formulate arrangements for assets to be made available to satisfy debts consideration of proposal to swap debts of the creditors for shares in a corporation consideration of reports of administrators exercise of discretion in the making of the order. corporations law,,,,
File: /content/drive/MyDrive/articles/06_89.xml,immigration,Immigration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_57.xml,immigration,Immigration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_136.xml,competition,Industry,allegations of price fixing and market sharing arrangements contrary to pt iv of the trade practices act 1974 (cth) immunity granted to other party to alleged arrangements (amcor) confidentiality of contents of amcor documents whether amcor documents referred to in amended statement of claim should be produced to respondents procedural fairness centrality of documents to case against respondents use of documents produced to be restricted to proper purposes harman undertaking implied construction of s 157 of the trade practices act relevance of amcor disclosing documents to accc trade practices,,,,
File: /content/drive/MyDrive/articles/06_60.xml,discrimination,Death,"suicide of 15-year-old member of air training corps complaint by mother under anti-discrimination act 1998 (tas) whether as a matter of construction act applies to commonwealth and its agents whether act permits complaints in respect of discrimination against deceased persons whether mother has arguable complaint in her own right whether act breaches ch iii of the constitution whether anti-discrimination tribunal established under the act is a court of state whether act inconsistent with air force act 1923 (cth) and/or cadet forces regulations 1977 (cth) whether act would impair the capacities of the commonwealth executive ""court"""," ""court of a state"" anti-discrimination constitutional law words and phrases",,,
File: /content/drive/MyDrive/articles/06_129.xml,administrative,Employment,judicial review reviewable decisions and conduct review of particular decisions review of termination of commonwealth public service employment under administrative decisions (judicial review) act 1977 (cth) where employee on probation whether leave to extend time to institute proceedings should be granted. administrative law,,,,
File: /content/drive/MyDrive/articles/06_98.xml,procedural,Financial,application for costs discretion of the court whether costs should follow the event. costs,,,,
File: /content/drive/MyDrive/articles/06_46.xml,immigration,Immigration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_68.xml, intellectual property,Patent,confidentiality regime disclosure of confidential documents to proposed witness who is competitor of applicant expert evidence more than one expert per discipline cost and delay english practice preferrable patents evidence,,,,
File: /content/drive/MyDrive/articles/06_126.xml,constitutional,Medical,powers of commonwealth parliament power to make laws with respect to the provision of medical and dental services (but not so as to authorise any form of civil conscription) power to make laws with respect to matters incidental to the provision of medical and dental services meaning of 'civil conscription', 'inappropriate practice' constitution s 51 (xxiiia), (xxxix) health insurance act 1973 (cth) part vaa ss 82 , 86 and 106u constitutional validity law imposing standards on provision of medical services incidental to commonwealth power to provide medical services law imposing standards upon provision of medical services not civil conscription 'civil conscription', 'inappropriate practice' constitutional law words and phrases
File: /content/drive/MyDrive/articles/06_96.xml,immigration,Migration,appellant failed to attend rrt hearing signed acceptance of hearing invitation suggestion of default by migration agent whether effective invitation sent whether rrt authorised to proceed to decide review ss422b , s 424a ,425, 426a , migration migration act 1958 (cth)
File: /content/drive/MyDrive/articles/06_121.xml,intellectual property,Patent,insufficiency party making allegation manufactures similar product whether required to discover documents relating to development of its own workable prototype patents,,,,
File: /content/drive/MyDrive/articles/06_74.xml,immigration,Refugee,decision of refugee review tribunal adverse findings of credibility alleged behaviour modification whether tribunal asked wrong question tribunal's approach in accordance with applicant's claim application,,,,
File: /content/drive/MyDrive/articles/06_45.xml,immigration,Refugee,application for protection visa refused by refugee review tribunal applicant then sought review under migration act 1958 (cth) application dismissed but no appeal lodged two years after refugee review tribunal's decision applicant sought constitutional writs in high court application withdrawn identical application for constitutional writs filed again in high court matter remitted to federal court whether applicant required to obtain order enlarging time principles of res judicata, issue estoppel and anshun estoppel no jurisdictional error shown migration,,,
File: /content/drive/MyDrive/articles/06_88.xml,immigration,Immigration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_83.xml,Intellectual Property,trade-mark re-infringement,whether breach of a court order constitutes civil or criminal contempt whether imposition of a fine is an appropriate penalty whether a claim for contempt may be the subject of an offer for settlement whether an offer by a solicitor for the aggrieved party to settle or compromise conduct constituting trade-mark re-infringement and contempt involves impropriety when the offer seeks more than the aggrieved party has a legal right to claim in respect of the re-infringement whether such impropriety should result in the court exercising its discretion as to costs adversely to the aggrieved party notwithstanding that it has succeeded in its claim of contempt consideration of the principles relevant to an offer by a solicitor for the aggrieved party to waive, settle or comprise a claim of contempt contempt solicitors,,,
File: /content/drive/MyDrive/articles/06_128.xml,Tax,Revenue,revenue case involving gst legislation need for recourse to overseas authority proceedings in nature of test case concession made by commissioner as to 35 per centum of original deductibility claim no order made as to costs costs,,,,
File: /content/drive/MyDrive/articles/06_97.xml,immigration,Immigration,no point of principle migration,,,,
File: /content/drive/MyDrive/articles/06_134.xml,employment,Industry,application under s 178 of the workplace relations act 1996 (cth) for imposition of penalty for award breaches award interpretation whether award rostering requirements applicable no question of principle industrial law,,,,
File: /content/drive/MyDrive/articles/06_93.xml,immigration,Migration,procedural fairness failure of appellant to attend tribunal hearing appellant asserts error by migration agent real and meaningful invitation duty of tribunal to investigate no obligation on tribunal to make case for appellant ss 425 and 427 migration migration act 1958 (cth),,,,
